time,hip_flexion_l_velocity,hip_adduction_l_velocity,hip_rotation_l_velocity,knee_angle_l_velocity,ankle_angle_l_velocity,subtalar_angle_l_velocity,hip_flexion_r_velocity,hip_adduction_r_velocity,hip_rotation_r_velocity,knee_angle_r_velocity,ankle_angle_r_velocity,subtalar_angle_r_velocity
34.16,197.76657268523,-51.1476652134312,-25.3134335618647,-135.248986039474,56.5289793535453,59.2515087287244,204.740661342984,-41.0650516250186,-45.2506954179671,-132.503791806165,53.5638669671378,119.947637431607
34.165,197.195664221589,-54.029909289471,-26.7085594934146,-137.209387236977,57.0571678680728,60.8582317595073,203.745125758075,-41.4284676545026,-47.0054690180953,-132.731814233621,52.4430203317633,122.780439273773
34.17,196.24277701897,-56.8868966119485,-28.199037438469,-138.910437072751,57.4859233538636,62.4623708828402,202.445004381088,-41.7638105020079,-48.6500949328108,-132.76993632384,51.1451103818562,125.347630511218
34.175,194.923304347796,-59.687575169754,-29.7577329957394,-140.33496342818,57.8125407303792,64.0307366469382,200.854984621879,-42.071492540858,-50.1765762384139,-132.60918353721,49.6823479214348,127.627682366853
34.18,193.258276523031,-62.4003013358816,-31.353141592979,-141.469186459903,58.0349093779542,65.5275820316926,198.99282745278,-42.3510858037509,-51.5772991368425,-132.24207182545,48.068990945231,129.60080609372
34.185,191.27380838279,-64.9932704036336,-32.9500148387028,-142.302693242956,58.1515001753918,66.9152540245664,196.878910741825,-42.6012899700637,-52.8451625487231,-131.662692612062,46.3210712424237,131.249284250883
34.19,189.000434116926,-67.4349611849855,-34.5100812940797,-142.828357118921,58.1613435400979,68.1548984408223,194.535712644388,-42.8199325156818,-53.9737214153349,-130.866772845004,44.4560808160318,132.557774150813
34.195,186.47234596959,-69.6945880077234,-35.9928460736736,-143.042209253541,58.0640011536008,69.2072067239734,191.987249103675,-43.0040011651206,-54.9573384106952,-129.851710806527,42.4926261541766,133.513576972934
34.2,183.726555216114,-71.7425533435073,-37.3564522565605,-142.943270579262,57.8595346788589,70.0331928877515,189.258480501257,-43.1497076581471,-55.791338051542,-128.616588864349,40.4500594542694,134.106867191124
34.205,180.801995886723,-73.5508941875836,-38.55858588863,-142.53335266557,57.5484750408532,70.5949880481403,186.374703653065,-43.2525808548475,-56.4721567767441,-127.162164855539,38.348096756924,134.330878518832
34.21,177.738593722262,-75.0937151735748,-39.5574053990942,-141.816836091892,57.1317956633408,70.8566391478366,183.360946434578,-43.3075863818865,-56.9974824563679,-125.490844264692,36.2064334677043,134.182044229736
34.215,174.576324335842,-76.3476012974318,-40.3124756311217,-140.800434613171,56.6108924687449,70.7848975952788,180.241382930159,-43.309269353118,-57.3663769618211,-123.606635749315,34.044367823639,133.660091106847
34.22,171.354285055133,-77.2920031121653,-40.7856864945246,-139.49295281995,55.9875725703749,70.3499827429609,177.038786722796,-43.2519161248051,-57.5793758203371,-121.515092797526,31.8804424579011,132.768087159852
34.225,168.109804254021,-77.9095873962897,-40.9421365433811,-137.905044141806,55.2640525782852,69.5263045460116,173.774038624505,-43.1297305249658,-57.6385595353149,-119.223244312089,29.7321133914063,131.512443642466
34.23,164.877610310438,-78.1865466231227,-40.7509625653535,-136.048974999562,54.4429664534151,68.2931295201787,170.465702965395,-42.9370195336532,-57.5475918728064,-116.73951669406,27.6154546567451,129.902872029787
34.235,161.689079930415,-78.11286104093,-40.186097486203,-133.93839972387,53.527381946785,66.6351743532116,167.129683790384,-42.6683830269677,-57.3117213124779,-114.073649568343,25.544905440372,127.952296697454
34.24,158.571582711353,-77.6825077818392,-39.2269404639492,-131.588149571173,52.5208238581427,64.5431122308058,163.778969213379,-42.3189019792327,-56.9377429536388,-111.23660671646,23.5330651749904,125.676724185486
34.245,155.54793570258,-76.8936121591207,-37.8589249112929,-129.014037871199,51.4273016670426,62.0139781066561,160.423468983145,-41.8843194732964,-56.4339194470629,-108.240483170962,21.590540476947,123.095070201287
34.25,152.635978525518,-75.7485371927158,-36.0739722876862,-126.232682097681,50.2513385746009,59.0514607577944,157.069947200665,-41.3612089908238,-55.8098609384907,-105.098408852988,19.7258462587589,120.228945972627
34.255,149.848276526762,-74.2539084199541,-33.8708218023846,-123.2613425501,48.9979986866089,55.6660715109911,153.722049286564,-40.7471247482835,-55.0763655087287,-101.824448664378,17.9453618152534,117.102406249392
34.26,147.19195652783,-72.4205721612384,-31.2552286213531,-120.117776419855,47.6729089418112,51.875181934257,150.380419802474,-40.0407293296938,-54.2452231271177,-98.4334986045185,16.2533412118231,113.741662074103
34.265,144.668676891992,-70.2634865512516,-28.2400257241956,-116.820105284328,46.2822723711706,47.7029254377888,147.042905473084,-39.2418945488512,-53.3289876340962,-94.9411772540696,14.6519758952842,110.174762151558
34.27,142.274730710717,-67.8015457936578,-24.8450471859982,-113.386693545161,44.8328693451236,43.179960553442,143.704835609705,-38.3517723387266,-52.3407226777818,-91.3637118676154,13.141506119132,106.431247064323
34.275,140.001277802309,-65.057339245993,-21.0969133375207,-109.836034996452,43.3320436600214,38.3430966554914,140.35936999863,-37.3728334629068,-51.2937287771142,-87.7178183429236,11.7203765670617,102.54178062964
34.28,137.834697946514,-62.0568481033529,-17.0286809570195,-106.186644576858,41.7876707008838,33.234786094363,136.9979022243,-36.3088729080141,-50.20125970049,-84.0205744804632,10.3854305289224,98.537762469275
34.285,135.757054605197,-58.8290836469944,-12.6793643281136,-102.456952452444,40.2081055614769,27.9024901819222,133.610504582301,-35.1649818845895,-49.0762370737487,-80.2892862020254,9.13213617882555,94.4509256454541
34.29,133.746655653907,-55.4056722448892,-8.0933356000043,-98.665197891335,38.6021099067282,22.3979301263213,130.186399517626,-33.9474873783836,-47.9309724977785,-76.5413467157486,7.9548379331568,90.3129233213079
34.295,131.77869561443,-51.8203934835906,-3.3196153568308,-94.8293209011805,36.9787574388472,16.7762376393676,126.714442115925,-32.6638611285572,-46.7769064122465,-72.7940889606333,6.84702549152754,86.1549089641927
34.3,129.825962472174,-48.1086789084081,1.58893337548523,-90.9668502675497,35.3473189384935,11.0950232164055,123.183598519184,-31.3226007711451,-45.6243724693563,-69.0646320395724,5.80161294038293,82.0071154399521
34.305,127.859591034374,-44.3070798088658,6.57649227141543,-87.0947873828317,33.7171288897247,5.41338279971805,119.583405897684,-29.9330866554775,-44.4823952744567,-65.3697227529458,4.81122021789815,77.8984390993712
34.31,125.849843625975,-40.4527133343193,11.5852385212507,-83.2294860269651,32.0974366475921,-0.209134336611824,115.904400467092,-28.505418448286,-43.3585280246175,-61.7255737575194,3.86844933949681,73.8560354613644
