time,hip_flexion_l_power,hip_adduction_l_power,hip_rotation_l_power,knee_angle_l_power,ankle_angle_l_power,subtalar_angle_l_power,hip_flexion_r_power,hip_adduction_r_power,hip_rotation_r_power,knee_angle_r_power,ankle_angle_r_power,subtalar_angle_r_power
35.21,-0.00100102425846246,0,0,0.000137287780879804,-0,-0,-0.000306887008880941,-0,0,-9.16250447027954e-06,-0,-0
35.215,-0.00100362886066102,0,0,9.43817222153046e-05,-0,-0,-0.000358951450458246,-0,0,-6.01529651860396e-06,-0,-0
35.22,-0.000980661831668699,0,0,3.73222863661757e-05,-0,-0,-0.000410800776178345,-0,0,-3.31187856278616e-06,-0,-0
35.225,-0.000950469048074338,0,0,-2.46315218015026e-05,-0,-0,-0.000443776830617742,-0,0,1.26786428034453e-06,-0,-0
35.23,-0.000901669156573743,0,0,-6.50363263459725e-05,-0,-0,-0.000466396743190308,-0,0,5.62033236215024e-06,-0,-0
35.235,-0.000827222135885871,0,0,-8.09998552014489e-05,-0,-0,-0.000483230795804426,-0,0,8.56487585268353e-06,-0,-0
35.24,-0.00072794181493933,0,-0,-7.7537134859098e-05,-0,-0,-0.000491066772718805,-0,0,1.27404519253788e-05,-0,-0
35.245,-0.000605626681993561,0,-0,-8.78872450136965e-05,-0,-0,-0.000477802636695268,-0,0,3.1105064513965e-05,-0,-0
35.25,-0.000463162847415864,0,-0,-9.19098372672615e-05,-0,-0,-0.000453977844305542,-0,0,4.47940333884443e-05,-0,-0
35.255,-0.000304123506414193,0,-0,-9.01917863521313e-05,-0,0,-0.000418959387252831,-0,0,5.36397597824032e-05,-0,-0
35.26,-0.000166390202527837,0,-0,-8.08859935107107e-05,-0,0,-0.000407690272428473,-0,0,4.86722517656741e-05,-0,-0
35.265,-5.26903928263054e-05,0,-0,-6.52602838727355e-05,-0,0,-0.000419552285464615,-0,0,3.56398216381814e-05,-0,-0
35.27,6.18358434523212e-05,0,-0,-4.74323904411872e-05,-0,0,-0.000425335975730969,-0,0,2.42501444194027e-05,-0,-0
35.275,0.000173675634048595,0,-0,-2.9138745347233e-05,-0,0,-0.000425650608444982,-0,0,1.48950794478953e-05,-0,-0
35.28,0.000174358433736138,0,-0,4.14677117101992e-06,-0,0,-0.000369499649862164,-0,0,9.9666272548711e-06,-0,-0
35.285,0.000157093363984954,0,-0,3.52596657988307e-05,-0,0,-0.000303730069747288,-0,0,5.80370456582491e-06,-0,-0
35.29,0.000128685624647738,0,-0,6.12843904805645e-05,-0,0,-0.000233853346315851,-0,0,2.3557922912511e-06,-0,-0
35.295,0.000143061899762005,0,-0,7.95568805829793e-05,-0,0,-0.000161798860321627,-0,0,-2.90296749072202e-07,-0,0
35.3,0.000274786668127138,0,-0,8.79274521022803e-05,-0,0,-8.95088766440438e-05,-0,0,-2.1249380485364e-06,-0,0
35.305,0.000393340837499654,0,-0,9.00677159261051e-05,-0,0,-1.91149028906062e-05,-0,0,-3.2032986480758e-06,-0,0
35.31,0.000498156295833945,0,-0,8.63549036696508e-05,-0,0,4.75570584172344e-05,0,-0,-3.62966926939333e-06,-0,0
35.315,0.000527313372877825,0,-0,7.94809871237742e-05,-0,0,9.48535182943155e-05,0,-0,-3.54039757429379e-06,-0,0
35.32,0.000518907137348755,0,-0,6.81430833296919e-05,-0,0,0.000129553616328259,0,-0,-3.08710049009434e-06,-0,0
35.325,0.000501691511908775,0,-0,5.22480540341558e-05,-0,0,0.000157037053821511,0,-0,-2.42151644372668e-06,-0,0
35.33,0.000483265477200883,0,-0,3.22899103396637e-05,-0,0,0.000180707935364115,0,-0,-1.63732886625243e-06,-0,0
35.335,0.000514175462287569,-0,-0,8.95061705776611e-06,-0,0,0.000231927783381174,0,-0,-5.81086935359208e-07,-0,0
35.34,0.000537945617761403,-0,-0,-8.26553855022077e-06,-0,0,0.000274598544617296,0,-0,5.21726182910013e-08,-0,0
35.345,0.000555987595749046,-0,-0,-1.89182851887758e-05,-0,0,0.000309035092082847,0,-0,1.05808001567576e-07,-0,0
35.35,0.000514695274017496,-0,-0,-2.66628186777495e-05,-0,0,0.000308713150771219,0,-0,-3.8238989296904e-07,-0,0
35.355,0.000419131891445195,-0,-0,-3.58444486546669e-05,-0,0,0.000275814997703675,0,-0,-7.92722261821747e-07,-0,0
35.36,0.000328607181600986,-0,-0,-4.38825824074892e-05,-0,0,0.000240144009452835,0,0,-9.70416085008255e-07,-0,0
35.365,0.000243867278295673,-0,-0,-5.07077162287725e-05,-0,0,0.000202994715883341,0,0,-8.17042182090576e-07,-0,0
35.37,0.000165491756323168,-0,-0,-4.73546311635217e-05,-0,0,0.000165642769135238,0,0,-2.26850885574791e-06,-0,0
35.375,9.34759861384293e-05,-0,-0,-3.98636425970277e-05,-0,-0,0.000129140875757451,0,0,-4.49935593300925e-06,-0,0
35.38,2.769116448279e-05,-0,-0,-2.99086632762431e-05,-0,-0,9.44182890301476e-05,0,0,-7.24053652903625e-06,-0,-0
35.385,-2.033278651087e-05,-0,-0,-2.37549020633722e-05,-0,-0,5.8246956800901e-05,0,0,-9.89196370086253e-06,-0,-0
35.39,-3.15853465994711e-05,-0,0,-3.2895774525847e-05,-0,-0,1.48299252112071e-05,0,0,-1.11314550616136e-05,-0,-0
35.395,-3.98888828951197e-05,-0,0,-4.23730560959395e-05,-0,-0,-2.42027270551487e-05,0,0,-1.21332097620126e-05,-0,-0
35.4,-4.54255142934094e-05,-0,0,-5.1899553091299e-05,-0,-0,-5.87733802878437e-05,0,0,-1.28514326599708e-05,-0,-0
35.405,-5.77388305779614e-05,-0,0,-4.89575538324622e-05,-0,-0,-4.53301428615004e-05,0,0,-1.71400557213429e-05,-0,-0
35.41,-7.18368752538982e-05,-0,0,-4.01031493319072e-05,-0,-0,-1.03933917855297e-05,0,0,-2.35310393945852e-05,-0,-0
35.415,-8.35607928427714e-05,-0,0,-3.14107190687479e-05,-0,-0,2.48938965832134e-05,0,0,-3.01626594548244e-05,-0,-0
35.42,-8.70638620733511e-05,-0,0,-2.31024687777047e-05,-0,-0,5.80115510423162e-05,0,0,-3.48646063452274e-05,-0,-0
35.425,-1.42620987498884e-05,-0,-0,-1.53553768343396e-05,-0,-0,6.00629465514763e-05,0,0,-1.41388568831475e-05,-0,-0
35.43,6.03907385480573e-05,-0,-0,-8.31495745767226e-06,-0,-0,6.43138489286644e-05,0,0,7.89522829751303e-06,-0,-0
35.435,0.000137248732339002,-0,-0,-2.08806447521012e-06,-0,-0,7.04864566843295e-05,0,0,3.07143751558077e-05,-0,-0
35.44,0.000177738047674607,-0,-0,3.22206945234862e-06,-0,-0,7.82755618024028e-05,0,0,3.8652702309642e-05,-0,-0
35.445,0.00017725916135385,-0,-0,7.57605399286867e-06,-0,-0,8.73483972875543e-05,0,0,2.98135257505708e-05,-0,-0
35.45,0.000177810011138213,-0,-0,1.09931578567043e-05,-0,-0,9.73435204852536e-05,0,0,2.09302937672722e-05,-0,-0
35.455,0.000179057249162891,-0,-0,1.34886935332258e-05,-0,-0,0.000107870847996586,0,0,1.21668483829476e-05,-0,-0
35.46,0.000214025961860004,-0,-0,9.81755371038476e-06,-0,-0,0.000102194413114576,0,0,-1.74926103263976e-06,-0,0
